City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lompoc,34.6391,-120.4579,14.4,85,100,6.17,US,1731369928
1,newman,37.3138,-121.0208,12.8,82,75,2.6,US,1731369929
2,whakatane,-37.9585,176.9854,21.95,68,72,3.58,NZ,1731369930
3,iqaluit,63.7506,-68.5145,-10.15,85,75,1.03,CA,1731369931
4,fort st. john,56.2499,-120.8529,-1.06,93,100,1.54,CA,1731369932
5,blackmans bay,-43.0167,147.3167,18.18,48,31,0.89,AU,1731369933
6,olonkinbyen,70.9221,-8.7187,0.36,96,100,7.93,SJ,1731369934
7,namibe,-15.1961,12.1522,21.4,72,2,2.24,AO,1731369935
8,waitangi,-43.9535,-176.5597,13.79,74,67,1.79,NZ,1731369936
9,ushuaia,-54.8,-68.3,7.81,81,75,1.54,AR,1731369937
10,mount pearl,47.5166,-52.7813,6.09,90,75,4.12,CA,1731369939
11,alotau,-10.3069,150.4462,28.29,80,96,1.69,PG,1731369940
12,wailua homesteads,22.0669,-159.378,25.44,93,100,4.12,US,1731369941
13,tiksi,71.6872,128.8694,-17.08,94,100,1.59,RU,1731369942
14,tura,25.5198,90.2201,17.51,90,1,1.66,IN,1731369943
15,maintirano,-18.0667,44.0167,26.63,78,1,4.45,MG,1731369944
16,yellowknife,62.456,-114.3525,-7.55,98,75,5.14,CA,1731369753
17,eagle,43.6954,-116.354,9.71,60,75,2.06,US,1731369947
18,aldan,58.6031,125.3894,-16.99,88,73,2.61,RU,1731369948
19,sur,22.5667,59.5289,26.22,49,6,1.33,OM,1731369950
20,araxa,-19.5933,-46.9406,21.13,77,68,1.07,BR,1731369951
21,grytviken,-54.2811,-36.5092,-0.35,92,93,4.76,GS,1731369952
22,kulhudhuffushi,6.6221,73.07,28.08,69,84,2.45,MV,1731369953
23,haiku-pauwela,20.9219,-156.3051,27.36,69,40,12.52,US,1731369954
24,anadyr,64.75,177.4833,-13.72,84,0,4.92,RU,1731369813
25,ponta delgada,37.7333,-25.6667,20.4,94,75,8.75,PT,1731369956
26,thompson,55.7435,-97.8558,-4.91,86,100,2.06,CA,1731369957
27,timbuktu,16.7735,-3.0074,24.37,15,9,4.43,ML,1731369958
28,aioun,16.6614,-9.6149,25.8,14,99,4.47,MR,1731369960
29,port-aux-francais,-49.35,70.2167,4.87,92,100,6.11,TF,1731369961
30,west island,-12.1568,96.8225,26.99,78,100,6.17,CC,1731369962
31,laguna,38.421,-121.4238,15.59,75,0,2.06,US,1731369698
32,chilliwack,49.1747,-121.9443,9.03,92,100,1.79,CA,1731369964
33,argentan,48.75,-0.0167,7.3,84,22,2.82,FR,1731369965
34,kharhial,20.2833,82.7667,18.8,67,69,1.28,IN,1731369966
35,bethel,41.3712,-73.414,14.41,66,0,0.45,US,1731369967
36,rizokarpaso,35.6,34.375,19.65,73,87,3.12,CY,1731369968
37,walvis bay,-22.9575,14.5053,14.53,88,0,3.6,NA,1731369970
38,bilibino,68.0546,166.4372,-24.07,98,70,1.86,RU,1731369971
39,whitehorse,60.7161,-135.0538,-1.57,86,75,1.03,CA,1731369972
